edate,prov,ilce,name,year,type,regvoter,actvoter,validvoter,p_akp,p_anadolupartisi,p_bgmz,p_btp,p_chp,p_dp,p_dsp,p_dyp,p_hakpar,p_hap,p_hdp,p_hkp,p_kp,p_ldp,p_mep,p_mhp,p_millet,p_saadet,p_turkparti,p_vatan,p_yurtp,edate_prov
2015_6,Zonguldak,Zonguldak Merkez,Bahcelievler,2015,parl15_1,353,306,303,102,0,0,0,122,1,0,1,0,0,9,0,0,0,0,64,0,4,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Murtaza,2015,parl15_1,342,286,280,107,0,0,1,115,0,3,0,0,1,4,0,0,0,0,39,0,7,0,3,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Sarikokmaz,2015,parl15_1,264,237,231,114,0,0,2,60,0,0,0,0,0,10,1,0,0,0,42,0,1,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Ormanli-Seyit Ahmetli,2015,parl15_1,147,132,123,46,0,0,0,39,0,2,0,0,0,2,0,0,0,0,32,0,1,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Devrek,Egerci,2015,parl15_1,322,235,221,111,0,0,2,83,1,0,0,0,1,0,0,0,0,0,20,0,2,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Alapli,Merkez,2015,parl15_1,353,307,305,131,1,0,0,84,0,2,0,0,0,2,1,0,0,0,73,1,10,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Akarca,2015,parl15_1,353,303,300,70,0,0,0,167,3,1,0,0,0,6,1,0,0,0,45,1,4,0,2,0,2015_6_Zonguldak
2015_6,Zonguldak,Caycuma,Dursunlar,2015,parl15_1,212,184,172,66,0,0,1,70,1,3,0,0,0,1,1,0,3,0,17,0,8,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Caycuma,Emirsah,2015,parl15_1,203,179,160,45,1,0,1,67,1,1,1,0,6,1,3,0,0,0,27,3,3,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Caycuma,Yeni,2015,parl15_1,307,257,252,50,0,0,0,146,0,0,0,0,0,1,1,0,0,0,49,0,1,0,4,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Cigdemli,2015,parl15_1,277,229,223,100,0,0,0,68,2,2,0,0,1,2,0,0,0,0,35,1,12,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Caycuma,Comranli,2015,parl15_1,380,349,343,113,1,0,1,135,2,0,0,0,0,2,0,0,1,0,63,1,24,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Alapli,Aydinyayla,2015,parl15_1,276,244,236,142,0,0,2,43,1,1,0,0,0,2,0,0,1,0,36,2,5,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Zonguldak Merkez,On Temmuz,2015,parl15_1,278,241,239,70,1,0,2,115,1,1,1,0,0,1,0,0,0,0,32,0,13,0,2,0,2015_6_Zonguldak
2015_6,Zonguldak,Zonguldak Merkez,Mesrutiyet,2015,parl15_1,325,261,257,57,0,0,0,137,2,3,0,0,0,5,0,0,0,0,48,1,4,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Uzunmehmet,2015,parl15_1,356,295,282,151,1,0,2,60,2,0,0,0,2,14,2,0,0,0,43,0,5,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Caycuma,Saltukova-Kokaksu,2015,parl15_1,317,264,252,53,0,0,0,166,0,0,0,0,0,2,0,0,0,0,26,0,4,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Kozlu,Sivriler,2015,parl15_1,108,84,82,39,0,0,0,19,0,1,0,0,1,0,1,0,1,0,15,1,4,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Hamzafakili,2015,parl15_1,208,178,173,98,1,0,0,53,0,0,0,0,0,0,0,0,0,0,16,0,2,0,3,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Imranlar,2015,parl15_1,211,192,187,99,0,0,0,31,1,0,0,0,0,0,0,0,2,0,50,0,4,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Kozlu,Fatih,2015,parl15_1,366,313,311,74,0,0,0,179,0,0,0,0,0,16,0,2,0,0,30,1,6,0,3,0,2015_6_Zonguldak
2015_6,Zonguldak,Zonguldak Merkez,Bastarla,2015,parl15_1,325,279,273,97,0,0,0,111,0,2,0,0,0,0,0,0,0,0,46,0,17,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Soganliyoruk,2015,parl15_1,363,338,328,212,0,0,1,61,0,1,1,0,0,1,1,0,1,0,43,0,6,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Zonguldak Merkez,Bastarla,2015,parl15_1,324,266,266,75,0,0,0,131,0,0,0,0,0,2,0,0,0,0,41,1,13,0,3,0,2015_6_Zonguldak
2015_6,Zonguldak,Alapli,Yeni Siteler,2015,parl15_1,366,319,318,125,0,0,1,114,0,1,1,0,0,10,0,0,0,0,54,1,10,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Devrek,Ahmetoglu,2015,parl15_1,229,192,187,118,0,0,0,33,2,3,0,0,0,1,2,0,0,0,17,0,10,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Caycuma,Seyhoglu,2015,parl15_1,253,215,202,52,0,0,1,117,2,5,0,0,0,0,2,0,1,0,16,1,5,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Zonguldak Merkez,Elvanpazarcik-Calca,2015,parl15_1,237,225,217,67,0,0,0,134,0,1,0,0,1,2,1,0,0,0,9,0,1,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Devrek,Gurcesme,2015,parl15_1,108,99,98,57,0,0,0,26,0,1,0,0,0,0,0,0,0,0,6,0,8,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Zonguldak Merkez,Terakki,2015,parl15_1,324,269,262,93,0,0,0,104,0,2,1,0,0,1,0,0,1,0,54,0,5,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Baglik,2015,parl15_1,324,258,257,75,0,0,0,132,0,0,1,0,0,1,0,0,0,0,42,0,5,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Yunuslu,2015,parl15_1,355,299,277,153,0,0,2,44,1,1,1,0,1,0,0,0,0,0,66,2,5,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Muftu,2015,parl15_1,354,279,275,81,0,0,0,103,0,0,0,0,0,9,0,0,0,0,71,0,11,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Gokcebey,Cay,2015,parl15_1,343,298,284,83,0,0,0,143,1,0,0,0,0,7,0,0,0,0,44,0,5,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Muftu,2015,parl15_1,353,309,309,73,0,0,0,162,2,0,0,0,0,6,2,0,0,0,54,0,8,0,2,0,2015_6_Zonguldak
2015_6,Zonguldak,Kilimli,Hisar Arkasi,2015,parl15_1,351,300,293,72,0,0,0,162,0,0,1,0,0,1,0,0,0,0,47,0,10,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Zonguldak Merkez,Cinartepe,2015,parl15_1,378,310,303,91,0,0,1,162,0,1,0,0,0,0,0,0,0,0,38,0,9,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Alapli,Hasanli,2015,parl15_1,246,220,211,135,0,0,1,41,0,2,0,0,0,0,0,0,0,0,26,0,5,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Alapli,Onurlu,2015,parl15_1,190,173,171,123,0,0,0,22,3,0,0,0,0,1,0,0,0,0,21,0,1,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Caycuma,Seyhoglu,2015,parl15_1,250,228,213,73,0,0,1,93,1,4,0,0,0,2,1,1,2,0,29,0,6,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Caycuma,Karamusa,2015,parl15_1,213,184,174,45,0,0,0,110,1,1,0,0,0,0,0,0,1,0,11,1,4,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Caycuma,Dagustu,2015,parl15_1,210,177,169,102,1,0,0,24,1,0,0,0,0,2,0,0,1,0,28,0,10,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Caycuma,Guzeloglu,2015,parl15_1,342,306,301,73,0,0,2,179,2,2,0,0,0,1,0,0,0,0,32,1,8,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Gokcebey,Istasyon,2015,parl15_1,360,308,293,61,0,0,2,175,1,1,0,0,2,3,3,0,0,0,36,0,8,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Muftu,2015,parl15_1,354,281,278,78,0,0,0,145,1,0,0,0,0,5,0,0,0,0,42,0,5,0,2,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Kepez,2015,parl15_1,371,305,299,109,0,0,0,128,2,4,0,0,0,6,0,0,0,0,41,0,9,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Isikli,2015,parl15_1,241,225,222,102,0,0,0,62,1,1,0,0,0,0,1,1,0,0,46,0,6,0,2,0,2015_6_Zonguldak
2015_6,Zonguldak,Caycuma,Muhsinler,2015,parl15_1,217,182,178,52,0,0,1,94,0,0,3,0,0,3,1,0,0,0,17,0,7,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Gokcebey,Yesilkoy,2015,parl15_1,245,226,212,115,0,0,0,58,2,1,0,0,0,0,0,0,0,0,14,1,20,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Alapli,Yeni Siteler,2015,parl15_1,328,286,280,99,0,0,1,99,0,0,0,0,0,2,0,0,0,0,73,0,6,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Orhanlar,2015,parl15_1,334,275,270,30,1,0,0,192,2,0,1,0,2,4,1,0,0,0,30,0,3,0,4,0,2015_6_Zonguldak
2015_6,Zonguldak,Alapli,Cicekli,2015,parl15_1,117,104,103,58,0,0,0,23,0,1,0,0,0,0,0,0,0,0,19,0,2,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Alapli,Asagidag,2015,parl15_1,304,265,255,134,0,0,0,52,0,3,1,0,2,1,1,0,0,0,60,1,0,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Devrek,Caydegirmeni-Kemerler,2015,parl15_1,270,232,222,97,0,0,1,45,0,0,0,0,0,4,1,0,0,0,68,0,6,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Kilimli,Subatan,2015,parl15_1,345,295,290,105,1,0,0,136,2,0,1,0,0,1,0,1,1,0,36,0,6,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Zonguldak Merkez,Eceler,2015,parl15_1,107,93,89,29,0,0,0,34,1,1,2,0,0,0,0,0,0,0,17,0,5,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Devrek,Pelitli,2015,parl15_1,226,202,190,89,0,0,1,56,0,2,0,0,0,0,2,1,0,0,34,0,5,0,0,0,2015_6_Zonguldak
