,Kommun,KommunParty,Lan,N,Party,Race,Year,chisquare-benford-3d,chisquare-benford-mix,chisquare-mean-sim,chisquare-uniform,lilliefors-type-test
58,28.0,,1.0,8.0,p_FP,riksdagsval,2002,,,,,0.0
59,28.0,,1.0,8.0,p_KD,riksdagsval,2002,,,,,0.0
60,28.0,,1.0,8.0,p_S,riksdagsval,2002,,,,,0.0
61,28.0,,1.0,8.0,p_V,riksdagsval,2002,,,,,0.0
62,28.0,,1.0,8.0,p_other,riksdagsval,2002,,,,,0.0
63,36.0,,1.0,44.0,p_M,riksdagsval,2002,0.9504073095567268,0.940294403763,0.964564507919,0.952493916913,0.895
64,36.0,,1.0,44.0,p_C,riksdagsval,2002,0.9012216441798038,0.94789387643,0.912046836762,0.899043133886,0.795
65,36.0,,1.0,44.0,p_FP,riksdagsval,2002,0.7404412569115958,0.740835447611,0.786062434163,0.739918292095,0.755
66,36.0,,1.0,44.0,p_KD,riksdagsval,2002,0.0747765441380242,0.13830838066,0.0821320477176,0.0668815877741,0.045
67,36.0,,1.0,44.0,p_S,riksdagsval,2002,0.21746764751625325,0.217404287876,0.227094064041,0.218482990468,0.505
68,36.0,,1.0,44.0,p_V,riksdagsval,2002,0.4803648767127462,0.567362450307,0.510290345742,0.462820713014,0.465
69,36.0,,1.0,44.0,p_other,riksdagsval,2002,0.11324734870773871,0.0811374226462,0.0978029035847,0.116003003502,0.105
70,38.0,,1.0,24.0,p_M,riksdagsval,2002,,,,,0.0
71,38.0,,1.0,24.0,p_C,riksdagsval,2002,,,,,0.0
72,38.0,,1.0,24.0,p_FP,riksdagsval,2002,,,,,0.0
73,38.0,,1.0,24.0,p_KD,riksdagsval,2002,,,,,0.0
74,38.0,,1.0,24.0,p_S,riksdagsval,2002,,,,,0.0
75,38.0,,1.0,24.0,p_V,riksdagsval,2002,,,,,0.0
76,38.0,,1.0,24.0,p_other,riksdagsval,2002,,,,,0.0
77,39.0,,1.0,13.0,p_M,riksdagsval,2002,,,,,0.0
78,39.0,,1.0,13.0,p_C,riksdagsval,2002,,,,,0.0
79,39.0,,1.0,13.0,p_FP,riksdagsval,2002,,,,,0.0
80,39.0,,1.0,13.0,p_KD,riksdagsval,2002,,,,,0.0
81,39.0,,1.0,13.0,p_S,riksdagsval,2002,,,,,0.0
82,39.0,,1.0,13.0,p_V,riksdagsval,2002,,,,,0.0
83,39.0,,1.0,13.0,p_other,riksdagsval,2002,,,,,0.0
84,40.0,,1.0,6.0,p_M,riksdagsval,2002,,,,,0.0
85,40.0,,1.0,6.0,p_C,riksdagsval,2002,,,,,0.0
86,40.0,,1.0,6.0,p_FP,riksdagsval,2002,,,,,0.0
87,40.0,,1.0,6.0,p_KD,riksdagsval,2002,,,,,0.0
88,40.0,,1.0,6.0,p_S,riksdagsval,2002,,,,,0.0
89,40.0,,1.0,6.0,p_V,riksdagsval,2002,,,,,0.0
90,40.0,,1.0,6.0,p_other,riksdagsval,2002,,,,,0.0
91,60.0,,1.0,29.0,p_M,riksdagsval,2002,0.995029333010633,0.995029333011,0.993542508278,0.995480124504,0.94
92,60.0,,1.0,29.0,p_C,riksdagsval,2002,,,,,0.0
93,60.0,,1.0,29.0,p_FP,riksdagsval,2002,,,,,0.0
94,60.0,,1.0,29.0,p_KD,riksdagsval,2002,0.6673890697972522,0.612947218871,0.698612187609,0.687240026284,0.33
95,60.0,,1.0,29.0,p_S,riksdagsval,2002,,,,,0.0
96,60.0,,1.0,29.0,p_V,riksdagsval,2002,,,,,0.0
97,60.0,,1.0,29.0,p_other,riksdagsval,2002,,,,,0.0
98,62.0,,1.0,21.0,p_M,riksdagsval,2002,,,,,0.0
99,62.0,,1.0,21.0,p_C,riksdagsval,2002,,,,,0.0
100,62.0,,1.0,21.0,p_FP,riksdagsval,2002,,,,,0.0
101,62.0,,1.0,21.0,p_KD,riksdagsval,2002,,,,,0.0
102,62.0,,1.0,21.0,p_S,riksdagsval,2002,,,,,0.0
103,62.0,,1.0,21.0,p_V,riksdagsval,2002,,,,,0.0
104,62.0,,1.0,21.0,p_other,riksdagsval,2002,,,,,0.0
105,63.0,,1.0,30.0,p_M,riksdagsval,2002,0.7468974626882752,0.754726064371,0.776673908628,0.739918292095,0.81
106,63.0,,1.0,30.0,p_C,riksdagsval,2002,,,,,0.0
107,63.0,,1.0,30.0,p_FP,riksdagsval,2002,0.9502794953427911,0.95054074952,0.948567425682,0.949601996395,0.685
108,63.0,,1.0,30.0,p_KD,riksdagsval,2002,0.5878397684950671,0.542942293346,0.658058034207,0.60245760914,0.38
109,63.0,,1.0,30.0,p_S,riksdagsval,2002,,,,,0.0
110,63.0,,1.0,30.0,p_V,riksdagsval,2002,,,,,0.0
111,63.0,,1.0,30.0,p_other,riksdagsval,2002,0.14751340384497894,0.136295019298,0.20108157376,0.148094195632,0.145
112,80.0,,1.0,456.0,p_M,riksdagsval,2002,0.8047588295405227,0.788539228406,0.747833406992,0.80189782752,0.57
113,80.0,,1.0,456.0,p_C,riksdagsval,2002,0.826703343267658,0.477278235138,0.780951685516,0.805957177802,0.595
114,80.0,,1.0,456.0,p_FP,riksdagsval,2002,0.5058421132273163,0.517778000034,0.411525523305,0.478703791671,0.305
115,80.0,,1.0,456.0,p_KD,riksdagsval,2002,0.08927315572413944,0.0273779235533,0.0844781293337,0.0883193992342,0.04
116,80.0,,1.0,456.0,p_S,riksdagsval,2002,0.568833163428579,0.56747375874,0.501245621342,0.566256469529,0.355
117,80.0,,1.0,456.0,p_V,riksdagsval,2002,0.5630411543131029,0.250914438541,0.587801820778,0.625247922538,0.615
118,80.0,,1.0,456.0,p_other,riksdagsval,2002,0.30115241205272103,0.205057793736,0.286311368692,0.296073890255,0.565
119,81.0,,1.0,47.0,p_M,riksdagsval,2002,0.399366816486481,0.376103586135,0.350570707925,0.402698789852,0.14
120,81.0,,1.0,47.0,p_C,riksdagsval,2002,0.7419826735405108,0.58582658673,0.715367830971,0.742045846593,0.92
121,81.0,,1.0,47.0,p_FP,riksdagsval,2002,0.6229983094240099,0.654805908745,0.60701638905,0.610555883076,0.33
122,81.0,,1.0,47.0,p_KD,riksdagsval,2002,0.7244979430785026,0.55692551442,0.740981089139,0.742045846593,0.805
123,81.0,,1.0,47.0,p_S,riksdagsval,2002,0.3108005643848924,0.310800564385,0.296286002087,0.299766806522,0.405
124,81.0,,1.0,47.0,p_V,riksdagsval,2002,0.836849986702571,0.899601820708,0.832400553352,0.823040830251,0.89
125,81.0,,1.0,47.0,p_other,riksdagsval,2002,0.8167309800095164,0.75104431523,0.791900012756,0.823040830251,0.745
126,82.0,,1.0,45.0,p_M,riksdagsval,2002,0.5976798174563923,0.630142506627,0.568880017363,0.568055367295,0.645
