,Lan,N,Party,Race,Year,chisquare-benford-3d,chisquare-benford-mix,chisquare-mean-sim,chisquare-uniform,lilliefors-type-test
48,8.0,190.0,p_other,riksdagsval,2002,0.176072763119,0.00814834196537,0.280530579219,0.207439927746,0.44
49,10.0,104.0,p_M,riksdagsval,2002,0.927528809975,0.905749244423,0.92781515412,0.930472915434,0.89
50,10.0,104.0,p_C,riksdagsval,2002,0.842319159674,0.504123754014,0.827173285098,0.863379761127,0.6
51,10.0,104.0,p_FP,riksdagsval,2002,0.925835963497,0.802473419197,0.928815194918,0.941144410041,0.89
52,10.0,104.0,p_KD,riksdagsval,2002,0.826067020389,0.603869218019,0.857739003862,0.847507843607,0.915
53,10.0,104.0,p_S,riksdagsval,2002,0.745930425493,0.748899230866,0.748513789608,0.739918292095,0.765
54,10.0,104.0,p_V,riksdagsval,2002,0.929189404179,0.951315157565,0.935788175678,0.918841285088,0.945
55,10.0,104.0,p_other,riksdagsval,2002,0.658864943437,0.822717038843,0.55096428392,0.621105443709,0.26
56,12.0,772.0,p_M,riksdagsval,2002,0.196877659348,0.134550476842,0.182007759849,0.199648909176,0.075
57,12.0,772.0,p_C,riksdagsval,2002,0.330909337598,0.000378107175049,0.413480903555,0.293513794082,0.135
58,12.0,772.0,p_FP,riksdagsval,2002,0.909061689227,0.515461400588,0.947137574108,0.931554994217,0.86
59,12.0,772.0,p_KD,riksdagsval,2002,0.421336666172,0.507641520001,0.340442035614,0.334375465107,0.345
60,12.0,772.0,p_S,riksdagsval,2002,0.488571373383,0.534364654038,0.374569853716,0.399014157493,0.355
61,12.0,772.0,p_V,riksdagsval,2002,0.583650644087,0.0144284264881,0.559857671501,0.624713430921,0.445
62,12.0,772.0,p_other,riksdagsval,2002,0.45224367093,0.129623254991,0.441620049403,0.510830909111,0.765
63,13.0,174.0,p_M,riksdagsval,2002,0.435135165484,0.316553327976,0.499734601737,0.481861029039,0.39
64,13.0,174.0,p_C,riksdagsval,2002,0.0218600265865,0.00465364868527,0.0377734408929,0.0262896809076,0.025
65,13.0,174.0,p_FP,riksdagsval,2002,0.900004370765,0.766528303356,0.884465984778,0.923094452948,0.78
66,13.0,174.0,p_KD,riksdagsval,2002,0.609737092831,0.534370204721,0.61145510738,0.609615952663,0.235
67,13.0,174.0,p_S,riksdagsval,2002,0.880914108927,0.887353426904,0.878840115829,0.866041927573,0.925
68,13.0,174.0,p_V,riksdagsval,2002,0.433236631656,0.146995374569,0.458668434381,0.459847506334,0.435
69,13.0,174.0,p_other,riksdagsval,2002,0.621105153542,0.517158270195,0.668764076152,0.621565370834,0.87
70,14.0,1058.0,p_M,riksdagsval,2002,0.367497727055,0.0570199894331,0.427103802734,0.422233680098,0.235
71,14.0,1058.0,p_C,riksdagsval,2002,0.0815854345565,0.000143114321777,0.10059907448,0.0703550894124,0.255
72,14.0,1058.0,p_FP,riksdagsval,2002,0.887412765761,0.440344314106,0.912708135527,0.89287356039,0.975
73,14.0,1058.0,p_KD,riksdagsval,2002,0.364494606188,0.203717937258,0.296034072248,0.30823226269,0.715
74,14.0,1058.0,p_S,riksdagsval,2002,0.167800425734,0.105146689899,0.208435248429,0.206990420144,0.145
75,14.0,1058.0,p_V,riksdagsval,2002,0.254563682312,0.0212206014951,0.369929983415,0.265611337403,0.2
76,14.0,1058.0,p_other,riksdagsval,2002,0.525327382909,0.0396010205333,0.470732702479,0.546382980985,0.31
77,17.0,232.0,p_M,riksdagsval,2002,0.417803834166,0.149773396471,0.501878128406,0.434097234677,0.55
78,17.0,232.0,p_C,riksdagsval,2002,0.625114506752,0.53906454935,0.648344626604,0.604842587067,0.655
79,17.0,232.0,p_FP,riksdagsval,2002,0.633789840113,0.795757497142,0.597311750985,0.586989205315,0.215
80,17.0,232.0,p_KD,riksdagsval,2002,0.588268063495,0.164446594447,0.604775798361,0.604842587067,0.675
81,17.0,232.0,p_S,riksdagsval,2002,0.316803531903,0.320153530368,0.28549945268,0.305141365246,0.37
82,17.0,232.0,p_V,riksdagsval,2002,0.396504718184,0.201225240252,0.4033157311,0.403022383994,0.425
83,17.0,232.0,p_other,riksdagsval,2002,0.314540819752,0.199733963146,0.353080648756,0.324621948615,0.405
84,18.0,214.0,p_M,riksdagsval,2002,0.900217331047,0.726995512326,0.84911912247,0.908934856268,0.795
85,18.0,214.0,p_C,riksdagsval,2002,0.703997325396,0.319719015673,0.581900935702,0.692390846846,0.69
86,18.0,214.0,p_FP,riksdagsval,2002,0.875190875797,0.939452518974,0.871851062771,0.844768048069,0.82
87,18.0,214.0,p_KD,riksdagsval,2002,0.0404116539096,0.029922251429,0.0762709451256,0.0378668024221,0.175
88,18.0,214.0,p_S,riksdagsval,2002,0.276913428773,0.28381896032,0.212317058174,0.260033202034,0.195
89,18.0,214.0,p_V,riksdagsval,2002,0.851025232615,0.854036224522,0.879807172797,0.836745464843,0.895
90,18.0,214.0,p_other,riksdagsval,2002,0.744391705691,0.378839869648,0.721024321498,0.767618157018,0.65
91,19.0,164.0,p_M,riksdagsval,2002,0.432109048117,0.303718757147,0.31841217202,0.455477307163,0.695
92,19.0,164.0,p_C,riksdagsval,2002,0.469256045731,0.795567841744,0.515050663948,0.410707480068,0.645
93,19.0,164.0,p_FP,riksdagsval,2002,0.759139183125,0.556425045473,0.732743501011,0.764059097221,0.685
94,19.0,164.0,p_KD,riksdagsval,2002,0.73595273544,0.704115021368,0.770861504351,0.727653572174,0.605
95,19.0,164.0,p_S,riksdagsval,2002,0.218262535137,0.188264320324,0.216273319068,0.251462520605,0.26
96,19.0,164.0,p_V,riksdagsval,2002,0.462905880376,0.607300584315,0.550103864444,0.432783564948,0.705
97,19.0,164.0,p_other,riksdagsval,2002,0.180952724787,0.103038503444,0.19008428694,0.176303179842,0.355
98,20.0,211.0,p_M,riksdagsval,2002,0.0346861868819,0.0131061913175,0.0368762483947,0.0368019951365,0.255
99,20.0,211.0,p_C,riksdagsval,2002,0.780096965677,0.924790234711,0.863862098102,0.74795411078,0.94
100,20.0,211.0,p_FP,riksdagsval,2002,0.165650051351,0.0102051831575,0.198709119181,0.214112036106,0.31
101,20.0,211.0,p_KD,riksdagsval,2002,0.282490754206,0.157325671622,0.245866731928,0.279627391341,0.265
102,20.0,211.0,p_S,riksdagsval,2002,0.451412448761,0.426043911447,0.455921885398,0.477540966349,0.205
103,20.0,211.0,p_V,riksdagsval,2002,0.842704881747,0.554268481121,0.886007913764,0.852883503902,0.985
104,20.0,211.0,p_other,riksdagsval,2002,0.961185433424,0.87284499552,0.949895167322,0.961212474731,0.885
105,21.0,201.0,p_M,riksdagsval,2002,0.116777672471,0.139607553615,0.101118039401,0.103379119567,0.085
106,21.0,201.0,p_C,riksdagsval,2002,0.555628988148,0.370801612733,0.576743334173,0.574187080285,0.66
107,21.0,201.0,p_FP,riksdagsval,2002,0.337072514405,0.067694922245,0.328411321502,0.384082434596,0.145
108,21.0,201.0,p_KD,riksdagsval,2002,0.143658538024,0.0987353214925,0.126143718225,0.138183243459,0.04
109,21.0,201.0,p_S,riksdagsval,2002,0.356006997494,0.330273631698,0.323900867592,0.37560784235,0.325
110,21.0,201.0,p_V,riksdagsval,2002,0.702348286109,0.630943711126,0.69137125118,0.697983597546,0.78
111,21.0,201.0,p_other,riksdagsval,2002,0.0379160070964,0.00383937916562,0.0346645190196,0.0420124880008,0.15
112,22.0,185.0,p_M,riksdagsval,2002,0.884080076279,0.701472609295,0.877674399093,0.886804497285,0.785
113,22.0,185.0,p_C,riksdagsval,2002,0.416729068445,0.207901443986,0.370339711266,0.437274188914,0.625
114,22.0,185.0,p_FP,riksdagsval,2002,0.615032899949,0.762772163733,0.510766057258,0.56436185508,0.485
115,22.0,185.0,p_KD,riksdagsval,2002,0.54924145871,0.298998418249,0.613085877755,0.56436185508,0.635
116,22.0,185.0,p_S,riksdagsval,2002,0.486996863308,0.479584990927,0.459993834906,0.509831358379,0.26
117,22.0,185.0,p_V,riksdagsval,2002,0.248240837754,0.0927087339786,0.258025352716,0.272022003131,0.325
118,22.0,185.0,p_other,riksdagsval,2002,0.240769710344,0.287332264247,0.255111999703,0.224186259303,0.6
119,23.0,125.0,p_M,riksdagsval,2002,0.277579596415,0.147257743582,0.292279856756,0.281232436509,0.29
120,23.0,125.0,p_C,riksdagsval,2002,0.939675231222,0.961842258157,0.922615350173,0.928856585228,0.82
121,23.0,125.0,p_FP,riksdagsval,2002,0.763396343349,0.515770022205,0.667492780802,0.743914902162,0.775
122,23.0,125.0,p_KD,riksdagsval,2002,0.288065850561,0.091988531889,0.369051355485,0.304125816412,0.335
123,23.0,125.0,p_S,riksdagsval,2002,0.200051495806,0.184445077153,0.200830482008,0.211063680677,0.49
124,23.0,125.0,p_V,riksdagsval,2002,0.650751632548,0.719918712536,0.597937411414,0.628790456175,0.675
125,23.0,125.0,p_other,riksdagsval,2002,0.590011012504,0.134376888661,0.642243362776,0.645448350912,0.495
